Timestamp,load_kw
2023-06-05 00:00:00+00:00,80.13
2023-06-05 00:10:00+00:00,77.55
2023-06-05 00:20:00+00:00,76.02
2023-06-05 00:30:00+00:00,85.21000000000001
2023-06-05 00:40:00+00:00,75.98
2023-06-05 00:50:00+00:00,74.45
2023-06-05 01:00:00+00:00,71.91
2023-06-05 01:10:00+00:00,66.53999999999999
2023-06-05 01:20:00+00:00,73.18
2023-06-05 01:30:00+00:00,64.84
2023-06-05 01:40:00+00:00,67.01
2023-06-05 01:50:00+00:00,70.01
2023-06-05 02:00:00+00:00,69.52
2023-06-05 02:10:00+00:00,70.00999999999999
2023-06-05 02:20:00+00:00,64.42999999999999
2023-06-05 02:30:00+00:00,71.92
2023-06-05 02:40:00+00:00,72.28
2023-06-05 02:50:00+00:00,68.83
2023-06-05 03:00:00+00:00,65.34
2023-06-05 03:10:00+00:00,65.25
2023-06-05 03:20:00+00:00,63.12
2023-06-05 03:30:00+00:00,63.76
2023-06-05 03:40:00+00:00,62.92
2023-06-05 03:50:00+00:00,63.7
2023-06-05 04:00:00+00:00,60.32
2023-06-05 04:10:00+00:00,65.49
2023-06-05 04:20:00+00:00,62.28
2023-06-05 04:30:00+00:00,67.77
2023-06-05 04:40:00+00:00,66.03999999999999
2023-06-05 04:50:00+00:00,71.78999999999999
2023-06-05 05:00:00+00:00,83.96000000000001
2023-06-05 05:10:00+00:00,78.05
2023-06-05 05:20:00+00:00,72.78
2023-06-05 05:30:00+00:00,75.99
2023-06-05 05:40:00+00:00,91.89
2023-06-05 05:50:00+00:00,92.27000000000001
2023-06-05 06:00:00+00:00,130.07
2023-06-05 06:10:00+00:00,126.74000000000001
2023-06-05 06:20:00+00:00,135.51
2023-06-05 06:30:00+00:00,144.61
2023-06-05 06:40:00+00:00,123.53
2023-06-05 06:50:00+00:00,118.10000000000001
2023-06-05 07:00:00+00:00,97.83
2023-06-05 07:10:00+00:00,125.87
2023-06-05 07:20:00+00:00,100.37
2023-06-05 07:30:00+00:00,102.50999999999999
2023-06-05 07:40:00+00:00,102.42
2023-06-05 07:50:00+00:00,106.49000000000001
2023-06-05 08:00:00+00:00,116.13
2023-06-05 08:10:00+00:00,99.82
2023-06-05 08:20:00+00:00,111.6
2023-06-05 08:30:00+00:00,108.0
2023-06-05 08:40:00+00:00,100.32
2023-06-05 08:50:00+00:00,110.87
2023-06-05 09:00:00+00:00,112.42
2023-06-05 09:10:00+00:00,114.47
2023-06-05 09:20:00+00:00,99.59
2023-06-05 09:30:00+00:00,101.65
2023-06-05 09:40:00+00:00,105.02
2023-06-05 09:50:00+00:00,120.0
2023-06-05 10:00:00+00:00,112.61000000000001
2023-06-05 10:10:00+00:00,118.41
2023-06-05 10:20:00+00:00,109.59
2023-06-05 10:30:00+00:00,100.51
2023-06-05 10:40:00+00:00,99.47999999999999
2023-06-05 10:50:00+00:00,110.74
2023-06-05 11:00:00+00:00,135.43
2023-06-05 11:10:00+00:00,148.58
2023-06-05 11:20:00+00:00,133.59
2023-06-05 11:30:00+00:00,124.7
2023-06-05 11:40:00+00:00,123.24000000000001
2023-06-05 11:50:00+00:00,122.56
2023-06-05 12:00:00+00:00,115.16
2023-06-05 12:10:00+00:00,112.68
2023-06-05 12:20:00+00:00,119.54
2023-06-05 12:30:00+00:00,146.73
2023-06-05 12:40:00+00:00,153.61
2023-06-05 12:50:00+00:00,133.42000000000002
2023-06-05 13:00:00+00:00,139.61
2023-06-05 13:10:00+00:00,150.91
2023-06-05 13:20:00+00:00,142.36
2023-06-05 13:30:00+00:00,135.51
2023-06-05 13:40:00+00:00,124.78
2023-06-05 13:50:00+00:00,100.26
2023-06-05 14:00:00+00:00,104.4
2023-06-05 14:10:00+00:00,112.72
2023-06-05 14:20:00+00:00,117.4
2023-06-05 14:30:00+00:00,118.3
2023-06-05 14:40:00+00:00,114.91
2023-06-05 14:50:00+00:00,116.24
2023-06-05 15:00:00+00:00,138.33
2023-06-05 15:10:00+00:00,134.84
2023-06-05 15:20:00+00:00,134.10999999999999
2023-06-05 15:30:00+00:00,127.84
2023-06-05 15:40:00+00:00,131.4
2023-06-05 15:50:00+00:00,133.43
2023-06-05 16:00:00+00:00,156.87
2023-06-05 16:10:00+00:00,176.23000000000002
2023-06-05 16:20:00+00:00,157.45
2023-06-05 16:30:00+00:00,163.51999999999998
2023-06-05 16:40:00+00:00,168.31
2023-06-05 16:50:00+00:00,152.25
2023-06-05 17:00:00+00:00,152.18
2023-06-05 17:10:00+00:00,186.11
2023-06-05 17:20:00+00:00,167.44
2023-06-05 17:30:00+00:00,183.17000000000002
2023-06-05 17:40:00+00:00,181.05
2023-06-05 17:50:00+00:00,171.75
2023-06-05 18:00:00+00:00,175.21
2023-06-05 18:10:00+00:00,176.3
2023-06-05 18:20:00+00:00,176.32999999999998
2023-06-05 18:30:00+00:00,186.25
2023-06-05 18:40:00+00:00,170.46
2023-06-05 18:50:00+00:00,151.0
2023-06-05 19:00:00+00:00,150.29000000000002
2023-06-05 19:10:00+00:00,143.32999999999998
2023-06-05 19:20:00+00:00,144.65
2023-06-05 19:30:00+00:00,157.56
2023-06-05 19:40:00+00:00,160.79
2023-06-05 19:50:00+00:00,144.57999999999998
2023-06-05 20:00:00+00:00,148.73
2023-06-05 20:10:00+00:00,163.95
2023-06-05 20:20:00+00:00,157.31
2023-06-05 20:30:00+00:00,149.46
2023-06-05 20:40:00+00:00,156.48000000000002
2023-06-05 20:50:00+00:00,175.35
2023-06-05 21:00:00+00:00,169.07999999999998
2023-06-05 21:10:00+00:00,155.84
2023-06-05 21:20:00+00:00,146.06
2023-06-05 21:30:00+00:00,137.31
2023-06-05 21:40:00+00:00,141.97
2023-06-05 21:50:00+00:00,151.93
2023-06-05 22:00:00+00:00,144.65
2023-06-05 22:10:00+00:00,120.58
2023-06-05 22:20:00+00:00,119.44999999999999
2023-06-05 22:30:00+00:00,131.04000000000002
2023-06-05 22:40:00+00:00,120.55000000000001
2023-06-05 22:50:00+00:00,113.16999999999999
2023-06-05 23:00:00+00:00,103.65
2023-06-05 23:10:00+00:00,100.03
2023-06-05 23:20:00+00:00,97.25999999999999
2023-06-05 23:30:00+00:00,94.78999999999999
2023-06-05 23:40:00+00:00,90.1
2023-06-05 23:50:00+00:00,91.85
2023-06-06 00:00:00+00:00,95.61
2023-06-06 00:10:00+00:00,91.83
2023-06-06 00:20:00+00:00,86.95
2023-06-06 00:30:00+00:00,87.59
2023-06-06 00:40:00+00:00,79.2
2023-06-06 00:50:00+00:00,80.6
2023-06-06 01:00:00+00:00,79.0
2023-06-06 01:10:00+00:00,80.6
2023-06-06 01:20:00+00:00,81.35
2023-06-06 01:30:00+00:00,78.42
2023-06-06 01:40:00+00:00,75.35
2023-06-06 01:50:00+00:00,78.63
2023-06-06 02:00:00+00:00,78.89
2023-06-06 02:10:00+00:00,77.64
2023-06-06 02:20:00+00:00,86.03
2023-06-06 02:30:00+00:00,88.6
2023-06-06 02:40:00+00:00,71.21000000000001
2023-06-06 02:50:00+00:00,75.54
2023-06-06 03:00:00+00:00,73.04
2023-06-06 03:10:00+00:00,70.97999999999999
2023-06-06 03:20:00+00:00,64.6
2023-06-06 03:30:00+00:00,65.3
2023-06-06 03:40:00+00:00,63.14
2023-06-06 03:50:00+00:00,61.26
2023-06-06 04:00:00+00:00,73.2
2023-06-06 04:10:00+00:00,68.86
2023-06-06 04:20:00+00:00,68.55
2023-06-06 04:30:00+00:00,66.39
2023-06-06 04:40:00+00:00,72.96000000000001
2023-06-06 04:50:00+00:00,73.19
2023-06-06 05:00:00+00:00,81.63
2023-06-06 05:10:00+00:00,82.68
2023-06-06 05:20:00+00:00,82.2
2023-06-06 05:30:00+00:00,81.21000000000001
2023-06-06 05:40:00+00:00,89.73
2023-06-06 05:50:00+00:00,102.62
2023-06-06 06:00:00+00:00,99.74000000000001
2023-06-06 06:10:00+00:00,107.52
2023-06-06 06:20:00+00:00,113.59
2023-06-06 06:30:00+00:00,105.88
2023-06-06 06:40:00+00:00,124.24
2023-06-06 06:50:00+00:00,136.8
2023-06-06 07:00:00+00:00,112.41
2023-06-06 07:10:00+00:00,110.78
2023-06-06 07:20:00+00:00,119.92
2023-06-06 07:30:00+00:00,116.46000000000001
2023-06-06 07:40:00+00:00,129.81
2023-06-06 07:50:00+00:00,123.03
2023-06-06 08:00:00+00:00,109.65
2023-06-06 08:10:00+00:00,116.74
2023-06-06 08:20:00+00:00,129.22
2023-06-06 08:30:00+00:00,133.12
2023-06-06 08:40:00+00:00,126.78
2023-06-06 08:50:00+00:00,135.19
2023-06-06 09:00:00+00:00,123.69999999999999
2023-06-06 09:10:00+00:00,121.77000000000001
2023-06-06 09:20:00+00:00,129.01
2023-06-06 09:30:00+00:00,122.83000000000001
2023-06-06 09:40:00+00:00,125.61
2023-06-06 09:50:00+00:00,126.47
2023-06-06 10:00:00+00:00,124.0
2023-06-06 10:10:00+00:00,138.66
2023-06-06 10:20:00+00:00,117.79
2023-06-06 10:30:00+00:00,113.03999999999999
2023-06-06 10:40:00+00:00,122.57000000000001
2023-06-06 10:50:00+00:00,133.24
2023-06-06 11:00:00+00:00,110.63
2023-06-06 11:10:00+00:00,105.09
2023-06-06 11:20:00+00:00,127.99000000000001
2023-06-06 11:30:00+00:00,120.94
2023-06-06 11:40:00+00:00,136.77
2023-06-06 11:50:00+00:00,117.56
