Timestamp,load_kw
2023-06-05 00:00:00+00:00,42.93
2023-06-05 00:10:00+00:00,41.33
2023-06-05 00:20:00+00:00,43.84
2023-06-05 00:30:00+00:00,38.980000000000004
2023-06-05 00:40:00+00:00,39.379999999999995
2023-06-05 00:50:00+00:00,38.89
2023-06-05 01:00:00+00:00,40.16
2023-06-05 01:10:00+00:00,40.46
2023-06-05 01:20:00+00:00,41.019999999999996
2023-06-05 01:30:00+00:00,38.55
2023-06-05 01:40:00+00:00,37.95
2023-06-05 01:50:00+00:00,35.91
2023-06-05 02:00:00+00:00,36.73
2023-06-05 02:10:00+00:00,38.019999999999996
2023-06-05 02:20:00+00:00,37.19
2023-06-05 02:30:00+00:00,36.09
2023-06-05 02:40:00+00:00,36.32
2023-06-05 02:50:00+00:00,35.5
2023-06-05 03:00:00+00:00,35.81
2023-06-05 03:10:00+00:00,37.09
2023-06-05 03:20:00+00:00,37.269999999999996
2023-06-05 03:30:00+00:00,35.99
2023-06-05 03:40:00+00:00,36.35
2023-06-05 03:50:00+00:00,35.56
2023-06-05 04:00:00+00:00,36.62
2023-06-05 04:10:00+00:00,38.73
2023-06-05 04:20:00+00:00,36.79
2023-06-05 04:30:00+00:00,37.94
2023-06-05 04:40:00+00:00,42.91
2023-06-05 04:50:00+00:00,45.15
2023-06-05 05:00:00+00:00,44.39
2023-06-05 05:10:00+00:00,53.510000000000005
2023-06-05 05:20:00+00:00,56.76
2023-06-05 05:30:00+00:00,45.32
2023-06-05 05:40:00+00:00,47.31
2023-06-05 05:50:00+00:00,53.27
2023-06-05 06:00:00+00:00,57.519999999999996
2023-06-05 06:10:00+00:00,74.94
2023-06-05 06:20:00+00:00,85.86
2023-06-05 06:30:00+00:00,82.1
2023-06-05 06:40:00+00:00,67.83
2023-06-05 06:50:00+00:00,74.37
2023-06-05 07:00:00+00:00,121.21
2023-06-05 07:10:00+00:00,106.3
2023-06-05 07:20:00+00:00,67.77
2023-06-05 07:30:00+00:00,70.36
2023-06-05 07:40:00+00:00,78.87
2023-06-05 07:50:00+00:00,67.31
2023-06-05 08:00:00+00:00,76.66
2023-06-05 08:10:00+00:00,74.48
2023-06-05 08:20:00+00:00,81.06
2023-06-05 08:30:00+00:00,73.06
2023-06-05 08:40:00+00:00,88.62
2023-06-05 08:50:00+00:00,95.63
2023-06-05 09:00:00+00:00,98.03999999999999
2023-06-05 09:10:00+00:00,70.0
