Dataset,Horizon,Model,MAE,RMSE,MAPE,Extra
511285_Oakwood_Rd_Llanedeyrn,10min,ARIMA,7.864638679731989,10.64928811251269,11.79028205592034,"(2, 0, 2)"
511285_Oakwood_Rd_Llanedeyrn,10min,XGBoost,6.511690570632846,8.772383132352118,9.967154851141226,
511285_Oakwood_Rd_Llanedeyrn,10min,LSTM,6.3499602133397905,8.46974740564094,9.758654431144986,
511285_Oakwood_Rd_Llanedeyrn,1hour,ARIMA,11.47363561188833,14.755095274171824,17.85167555971182,"(2, 0, 2)"
511285_Oakwood_Rd_Llanedeyrn,1hour,XGBoost,7.776202822035639,10.063467128453283,12.052584624991468,
511285_Oakwood_Rd_Llanedeyrn,1hour,LSTM,8.766131208425085,11.503000180355473,13.999314198557675,
511285_Oakwood_Rd_Llanedeyrn,6hour,ARIMA,18.019012782701576,21.230585634602434,30.168596241214907,"(2, 0, 2)"
511285_Oakwood_Rd_Llanedeyrn,6hour,XGBoost,7.776485273075942,10.006676558997924,12.214142736500417,
511285_Oakwood_Rd_Llanedeyrn,6hour,LSTM,11.814578179965833,13.790819068463895,21.810076066455373,
511285_Oakwood_Rd_Llanedeyrn,24hour,ARIMA,15.550886666033291,18.479052119997707,26.269315096127578,"(2, 0, 2)"
511285_Oakwood_Rd_Llanedeyrn,24hour,XGBoost,7.436178531882203,9.429867383911898,11.779060142995442,
511285_Oakwood_Rd_Llanedeyrn,24hour,LSTM,7.6421272479194355,9.721769547012002,12.432358908806515,
511320_Abercynon_St_Westmoors,10min,ARIMA,9.179083414755342,12.120672539294702,7.694524841370498,"(2, 0, 3)"
511320_Abercynon_St_Westmoors,10min,XGBoost,7.9240745950158615,10.65394402076224,6.596077338384569,
511320_Abercynon_St_Westmoors,10min,LSTM,7.496975836147919,9.772212131831331,6.292285239147796,
511320_Abercynon_St_Westmoors,1hour,ARIMA,12.356541700808437,16.014753109606517,10.296503499765786,"(2, 0, 3)"
511320_Abercynon_St_Westmoors,1hour,XGBoost,9.14271772743999,12.147696375348659,7.656029106525497,
511320_Abercynon_St_Westmoors,1hour,LSTM,11.44950124386605,14.940749532587162,9.362743513856591,
511320_Abercynon_St_Westmoors,6hour,ARIMA,20.70479402482244,25.140076608842023,17.10432402710169,"(2, 0, 3)"
511320_Abercynon_St_Westmoors,6hour,XGBoost,8.732580311347313,11.943050539738937,7.259225385678317,
511320_Abercynon_St_Westmoors,6hour,LSTM,18.731035600763743,21.304037249863097,17.217808325206363,
511320_Abercynon_St_Westmoors,24hour,ARIMA,21.134493383441846,25.646721532929785,18.956158531688512,"(2, 0, 3)"
511320_Abercynon_St_Westmoors,24hour,XGBoost,8.388228007187077,11.430214149368112,6.933818861861776,
511320_Abercynon_St_Westmoors,24hour,LSTM,9.4208578902885,12.213925845719993,7.821062163895654,
511469_Heol_Briwnant_South_Llanishen,10min,ARIMA,9.14964155529576,12.572064953614541,11.837946708328635,"(2, 0, 3)"
511469_Heol_Briwnant_South_Llanishen,10min,XGBoost,7.5403374075476135,10.040794362270026,10.361444365470668,
511469_Heol_Briwnant_South_Llanishen,10min,LSTM,7.2178009458931776,9.938017265508257,9.491735523434459,
511469_Heol_Briwnant_South_Llanishen,1hour,ARIMA,12.203375960971593,16.66514457885952,16.317933688333994,"(2, 0, 3)"
511469_Heol_Briwnant_South_Llanishen,1hour,XGBoost,8.72779933763587,11.102737231285172,12.468439920586047,
511469_Heol_Briwnant_South_Llanishen,1hour,LSTM,9.923680180261671,13.538019917939858,13.647191944100195,
511469_Heol_Briwnant_South_Llanishen,6hour,ARIMA,18.674852261580643,24.881473925247736,24.528251416584716,"(2, 0, 3)"
511469_Heol_Briwnant_South_Llanishen,6hour,XGBoost,9.60677597224887,12.102957955470485,14.495344532713727,
511469_Heol_Briwnant_South_Llanishen,6hour,LSTM,12.82413460825004,16.47991418866492,18.026579637872075,
511469_Heol_Briwnant_South_Llanishen,24hour,ARIMA,18.99053607755145,24.028670007453876,29.426700843497738,"(2, 0, 3)"
511469_Heol_Briwnant_South_Llanishen,24hour,XGBoost,9.16446029710181,11.580841034356782,13.77103306095308,
511469_Heol_Briwnant_South_Llanishen,24hour,LSTM,9.885957906952353,13.348094584285064,13.262772686017337,
